Q000001	Weinbautechniker/in (DI)
Q000568	Gaststättenkaufmann/-frau
Q000569	Catering-Assistent/in
Q000570	Veranstaltungsassistent/in
Q000571	Veranstaltungsleiter/in
Q000572	Veranstaltungsorganisator/in
Q000573	Küchenleiter/in
Q000574	Hotelpraktikant/in
Q000575	Betriebsdienstleistungskaufmann/-frau
Q000576	Gästebetreuer/in
Q000577	Hotelkaufmann/-frau (Rezeptionist/in)
Q000578	Betriebsdienstleister/in
Q000579	Hotel- und Restaurantfachmann/-frau
Q000580	Betriebsdienstleistungskaufmann/-frau
Q000581	Hotelkaufmann/-frau
Q000582	Betriebsdienstleister/in
Q000583	Hotel- und Restaurantfachmann/-frau
Q000584	Aushilfskellner/in
Q000585	Chef de rang (m./w.)
Q000586	Kellner/in
Q000587	Oberkellner/in
Q000588	Restaurantfachmann/-frau
Q000589	Restaurantfachmann/-frau
Q000590	Bäckereibursch/-mädchen
Q000591	Barmann/-dame
Q000592	Barista (m./w.)
Q000593	Hotelportier/in
Q000594	Flugbegleiter/in
Q000595	Diätkoch/-köchin
Q000596	Systemgastronomiefachmann/-frau
Q000597	Gastronomiefachmann/-frau
Q000598	Koch/Köchin
Q000599	Systemgastronomiefachmann/-frau
Q000600	Gastronomiefachmann/-frau
Q000601	Koch/Köchin (Privathaushalt)
Q000602	Gastgewerbliche Hilfskraft (m./w.)
Q000603	Gesellschafter/in
Q000604	Ankleider/in
Q000605	Babysitter/in
Q000606	Hausgehilf(e)in
Q000607	Kindermädchen/Kinderbetreuer
Q000608	Au-pair-Kraft (m./w.)
Q000609	Hausmeister/in
Q000610	Hauswart/in
Q000611	Gemeindearbeiter/in
Q000612	Fassadenreiniger/in
Q000613	Fensterputzer/in
Q000614	Gebäudereiniger-Vorarbeiter/in
Q000615	WC-/Sanitäranlagenbetreuer/in
Q000616	Grundreiniger/in
Q000617	Raumpfleger/in
Q000618	Reinigungskraft (m./w.)
Q000619	Maschinenwäscher/in
Q000620	Wäscher/in
Q000621	Wäschereiarbeiter/in
Q000622	Wäschereiaufseher/in
Q000623	Produktionsleiter/in (Wäscherei)
Q000624	Bügler/in (Büglerei)
Q000625	Maschinenbügler/in
Q000626	Kanalreiniger/in
Q000627	Straßenarbeiter/in
Q000628	Wagenpfleger/in
Q000629	Reinigungsarbeiter/in
Q000630	Flugzeugkabinenreiniger/in
Q000631	Maschinenreiniger/in
Q000632	Herrenfriseur/in
Q000633	Perückenmacher/in
Q000634	Friseur/in
Q000635	Dipl. Kosmetiker/in
Q000636	Kosmetiker/in
Q000637	Visagist/in
Q000638	Kosmetiker/in
Q000639	Friseurhilfskraft (m./w.)
Q000640	Badewärter/in
Q000641	Bestatter/in
Q000642	Bestattungsgehilf(e)in
Q000643	Schädlingsbekämpfer/in
Q000644	Schädlingsbekämpfer/in
Q000645	Aufseher/in
Q000646	Platzwart/in
Q000647	Portier/in
Q000648	Türsteher/in (Portiere/Wächter)
Q000649	Qualifiziert(er)e Sicherheits-Ordner/in
Q000650	Privatdetektiv/in
Q000651	Croupier/e
Q000652	Dressman (Mannequin)
Q000653	Fremdenführer/in
Q000654	Tour guide (m./w.)
Q000655	Platzanweiser/in
Q000656	Plakatierer/in
Q000657	Schaustellergehilf(e)in
Q000658	Schuhputzer/in
Q000659	Prospektverteiler/in
Q000660	Bergtechniker/in (DI)
Q000661	Hydrotechniker/in (Hydrolog(e)in) (DI)
Q000662	Hüttentechniker/in - Metallurgie (DI)
Q000663	Gießereitechniker/in
Q000664	Hüttentechniker/in - Metallurgie (Ing)
Q000665	Galvanotechniker/in
Q000666	Architekt/in (DI)
Q000667	Regionalwissenschafter/in (DI)
Q000668	Architekt/in (Mag.arch.)
Q000669	Architekt/in
Q000670	Bauleiter/in (DI)
Q000671	Bauingenieur/in (DI)
Q000672	Wirtschaftsingenieur/in - Bauwesen (DI)
Q000673	Straßenbautechniker/in (DI)
Q000674	Baustellenleiter/in (DI)
Q000675	Bautechniker/in-Gebäudetechnik (DI)
Q000676	Bauführer/in (Ing)
Q000677	Bauleiter/in (Ing)
Q000678	Baumeister/in (Ing)
Q000679	Bautechniker/in (Ing)
Q000680	Baustellenleiter/in (Ing)
Q000681	Baukalkulant/in (Ing)
Q000682	Bauführer/in
Q000683	Bauleiter/in
Q000684	Bautechniker/in
Q000685	Baustellenleiter/in
Q000686	Vermessungstechniker/in (Ing)
Q000687	Vermessungstechniker/in
Q000688	Maschinenbauingenieur/in (DI)
Q000689	Installationstechniker/in - Maschinenbau (DI)
Q000690	Kfz-Bautechniker/in (DI)
Q000691	Maschinenbautechniker/in (Ing)
Q000692	Maschinentechniker/in (Ing)
Q000693	Teilkonstrukteur/in (Ing)
Q000694	Qualitätssicherungstechniker/in (Ing)
Q000695	CAD-Konstrukteur/in (Ing)
Q000696	Mechatroniker/in (Ing)
Q000697	Fertigungstechniker/in (Ing)
Q000698	Automatisierungstechniker/in (Ing)
Q000699	Installationstechniker/in - Maschinenbau
Q000700	Maschinenbautechniker/in
Q000701	Qualitätssicherungstechniker/in
Q000702	Mechatroniker/in
Q000703	Elektrotechniker/in (DI)
Q000704	Elektrotechniker/in (Ing)
Q000705	Elektrotechniker/in
Q000706	Kommunikationstechniker/in (DI)
Q000707	Telekommunikationstechniker/in (DI)
Q000708	Tontechniker/in
Q000709	Kommunikationstechniker/in (Ing)
Q000710	Sensortechniker/in (Ing)
Q000711	Telekommunikationstechniker/in (Ing)
Q000712	Messtechniker/in (Ing)
Q000713	Videotechniker/in
Q000714	Kommunikationstechniker/in
Q000715	Prüffeldtechniker/in
Q000716	Sensortechniker/in
Q000717	Biochemiker/in (DI)
Q000718	Chemiker/in (DI)
Q000719	Biotechnolog(e)in (DI)
Q000720	Chemiker/in (Ing)
Q000721	Lebensmittelchemiker/in (Ing)
Q000722	Oberflächentechniker/in (Ing)
Q000723	Chemiker/in (Ing)
Q000724	Oberflächentechniker/in
Q000725	Lebensmitteltechniker/in (DI)
Q000726	Lebensmitteltechniker/in (Ing)
Q000727	Physiker/in (DI)
Q000728	Physiker/in
Q000729	Färbereitechniker/in (Ing)
Q000730	Färbereitechniker/in
Q000731	Arbeitsvorbereiter/in (DI)
Q000732	Betriebstechniker/in (DI)
Q000733	Controller/in
Q000734	Abnahmetechniker/in (DI)
Q000735	Forschungs- und Entwicklungstechniker/in (DI)
Q000736	Innovationstechniker/in (DI)
Q000737	Verkaufstechniker/in (DI)
Q000738	Instandhaltungstechniker/in (DI)
Q000739	Produktionsplaner/in (DI)
Q000740	Leiter/in der Instandhaltung (DI)
Q000741	Technisch(er)e Assistent/in (DI)
Q000742	Arbeitsvorbereiter/in (Ing)
Q000743	Betriebstechniker/in (Ing)
Q000744	Forschungs- und Entwicklungstechniker/in (Ing)
Q000745	Innovationstechniker/in (Ing)
Q000746	Produktionstechniker/in (Ing)
Q000747	Instandhaltungstechniker/in (Ing)
Q000748	Quality Engineer (Ing) (m./w.)
Q000749	Produktionsplaner/in (Ing)
Q000750	Technisch(er)e Assistent/in (Ing)
Q000751	Arbeitsvorbereiter/in
Q000752	Betriebstechniker/in
Q000753	Wirtschaftstechniker/in
Q000754	Customer Support-Techniker/in
Q000755	Instandhaltungstechniker/in
Q000756	Produktionsleiter/in (Gewerbe/Industrie)
Q000757	Technisch(er)e Assistent/in
Q000758	Informatiker/in (DI)
Q000759	Programmierer/in (DI)
Q000760	Softwaretechniker/in (Softwareentwickler/in) (DI)
Q000761	Hardwaretechniker/in (DI)
Q000762	Informations-Manager/in (Data Warehouse Manager/in) (DI)
Q000763	IT-Manager/in (IT-Consultant) (DI)
Q000764	Medieninformatiker/in (DI)
Q000765	EDV-Qualitätssicherungstechniker/in (DI)
Q000766	Web-Master/in (DI)
Q000767	Software Engineer (DI) (m./w.)
Q000768	Network/System Engineer (DI) (m./w.)
Q000769	Datenbankadministrator/in (DI)
Q000770	IT-Architekt/in (DI)
Q000771	Netzwerktechniker/in (Ing)
Q000772	Systementwickler/in (Ing)
Q000773	System- und Anwenderbetreuer/in (Ing)
Q000774	Hardwaretechniker/in (Ing)
Q000775	IT-Manager/in (IT-Consultant) (Ing)
Q000776	EDV-Qualitätssicherungstechniker/in (Ing)
Q000777	Web-Master/in (Ing)
Q000778	System Engineer (Ing) (m./w.)
Q000779	Datenbankadministrator/in (Ing)
Q000780	Netzwerktechniker/in
Q000781	Medienfachmann/-frau - Medientechnik
Q000782	Netzwerkadministrator/in
Q000783	Medieninformatiker/in
Q000784	Medizin-Dokumentar/in
Q000785	EDV-Qualitätssicherungstechniker/in
Q000786	Scantechnik-/Bilderfassungs-Spezialist/in
Q000787	Telekommunikationstechniker/in
Q000788	Usability Engineer
Q000789	Web-Master/in
Q000790	Network/System Engineer (m./w.)
Q000791	Datenbankadministrator/in
Q000792	IT-Architekt/in
Q000793	Softwareentwickler/in
Q000794	Kunststofftechniker/in (DI)
Q000795	Ledertechniker/in (DI)
Q000796	Schuhtechniker/in (DI)
Q000797	Servicetechniker/in (DI)
Q000798	Silikattechniker/in (DI)
Q000799	Schiffbautechniker/in (DI)
Q000800	Verkehrsplaner/in/-techniker/in (DI)
Q000801	Werkstofftechniker/in (DI)
Q000802	Vertriebstechniker/in (DI)
Q000803	Härtetechniker/in (Ing)
Q000804	Ledertechniker/in (Ing)
Q000805	Schuhtechniker/in (Ing)
Q000806	Servicetechniker/in (Ing)
Q000807	Verfahrenstechniker/in (Ing)
Q000808	Umwelt-/Sicherheitstechniker/in (Ing)
Q000809	Entwicklungstechniker/in (Ing)
Q000810	Schiffbautechniker/in (Ing)
Q000811	Textilchemiker/in (Ing)
Q000812	Wasserbautechniker/in (Ing)
Q000813	Fahrzeugtechniker/in (Ing)
Q000814	Vertriebstechniker/in (Ing)
Q000815	Projekttechniker/in (Ing)
Q000816	Technisch(er)e Projektmitarbeiter/in (Ing)
Q000817	Holzbautechniker/in (Ing)
Q000818	Holztechniker/in
Q000819	Ledertechniker/in
Q000820	Schweißtechniker/in
Q000821	Raumplaner/in
Q000822	Technisch(er)e Berater/in
Q000823	Papier- und Zellstofftechniker/in
Q000824	Werkstättenleiter/in
Q000825	Vertriebstechniker/in
Q000826	Projekttechniker/in
Q000827	Technisch(er)e Projektmitarbeiter/in
Q000828	Helpdesk-Techniker/in
Q000829	Fertigungsmesstechniker/in - Produktionssteuerung
Q000830	Fertigungsmesstechniker/in - Produktmessung
Q000831	Fertigungsmesstechniker/in - Produktionssteuerung
Q000832	Fertigungsmesstechniker/in - Produktmessung
Q000833	Beleuchter/in
Q000834	Bühnentechniker/in
Q000835	Veranstaltungstechniker/in
Q000836	Studiotechniker/in
Q000837	Toncutter/in
Q000838	Veranstaltungstechniker/in
Q000839	Werkstoffprüfer/in
Q000840	Fachkraft für Prüftechnik - Baustoffe
Q000841	Fachkraft für Prüftechnik - Baustoffe
Q000842	Chemielaborant/in
Q000843	Umweltberater/in
Q000844	Entsorgungs- und Recyclingfachmann/-frau (Abwasser)
Q000845	Recycling- und Entsorgungstechniker/in
Q000846	Strahlenschutzbeauftragt(er)e
Q000847	Entsorgungs- und Recyclingfachmann/-frau
Q000848	Entsorgungs- und Recyclingfachmann/-frau (Abwasser)
Q000849	Entsorgungs- und Recyclingfachmann/-frau
Q000850	Medienfachmann/-frau - Mediendesign
Q000851	3D-Designer/in
Q000852	Desktop-Publisher/in
Q000853	Bautechnisch(er)e Zeichner/in
Q000854	Technisch(er)e Zeichner/in
Q000855	Kartograf/in
Q000856	Technisch(er)e Zeichner/in
Q000857	Bautechnisch(er)e Zeichner/in
Q000858	Bautechnisch(er)e Assistent/in
Q000859	Verwaltungsfachbeamt(er)in
Q000860	Verwaltungsbedienstet(er)e
Q000861	Gerichtsvollzieher/in
Q000862	Militärperson auf Zeit (m./w.)
Q000863	Sachbearbeiter/in (Referent/in)
Q000864	Standesbeamt(er)in
Q000865	Polizeibeamt(er)in
Q000866	Kriminalbeamt(er)in
Q000867	Offizier/in (Bundesheer)
Q000868	Sicherheitswachebeamt(er)in
Q000869	Unteroffizier/in (Bundesheer)
Q000870	Vertragsbedienstet(er)e für die Exekutivdienstausbildung
Q000871	Justizwachebeamt(er)in
Q000872	Justizwachebedienstet(er)e
Q000873	Patentingenieur/in (Patent-Assessor/in)
Q000874	Rechtsanwalt/-anwältin
Q000875	Buchprüfer/in
Q000876	Finanz- und Wirtschaftsberater/in
Q000877	Steuerberater/in
Q000878	Hausverwalter/in
Q000879	Immobilienkaufmann/-frau - Verwalter
Q000880	Immobilienkaufmann/-frau - Verwalter
Q000881	Wirtschaftsberater/in
Q000882	Unternehmensberater/in
Q000883	Abfallrechtlich(er)e Geschäftsführer/in
Q000884	Energieberater/in
Q000885	Organisationsberater/in (EDV-Consultant)
Q000886	Technik-Consultant (m./w.)
Q000887	Compliance-Manager/in
Q000888	Business Development Manager/in
Q000889	Diplomkaufmann/-frau
Q000890	Disponent/in
Q000891	Verkaufsleiter/in
Q000892	Abteilungsleiter/in (Betriebsleitung)
Q000893	Betriebsleiter/in
Q000894	Kaufmännisch(er)e Leiter/in (Management)
Q000895	Marketing-Manager/in
Q000896	Niederlassungsleiter/in
Q000897	Vertriebsleiter/in
Q000898	Finanzmanager/in
Q000899	Bezirksleiter/in (Versicherung)
Q000900	Commodity-Manager/in
Q000901	Key-Account-Manager/in
Q000902	Krankenhaus-Manager/in
Q000903	Produktivitäts-Manager/in
Q000904	Qualitäts-Manager/in
Q000905	Sport-Manager/in
Q000906	Verleger/in
Q000907	Callcenter-Leiter/in
Q000908	Kassier/in (Handel)
Q000909	Fakturist/in
Q000910	Kaufmännisch(er)e Büroangestellt(er)e
Q000911	Personalsachbearbeiter/in
Q000912	Kaufmännisch(er)e Sachbearbeiter/in
Q000913	Verkaufssachbearbeiter/in
Q000914	Chemiekaufmann/-frau
Q000915	Holzkaufmann/-frau
Q000916	Multimediakaufmann/-frau
Q000917	Referent/in
Q000918	Textilkaufmann/-frau
Q000919	Steuersachbearbeiter/in
Q000920	Sportadministrator/in
Q000921	HAK-Absolvent/in
Q000922	Back-Office-Mitarbeiter/in
Q000923	E-Commerce-Kaufmann/-frau
Q000924	Bürokaufmann/-frau
Q000925	Einkäufer/in
Q000926	Buch- und Medienwirtschafter/in - Buch-/Musikalienhandel
Q000927	Sportadministrator/in
Q000928	E-Commerce-Kaufmann/-frau
Q000929	Bankangestellt(er)e
Q000930	Versicherungskaufmann/-frau
Q000931	Devisenmakler/in
Q000932	Aktuar/in (Versicherungs- und Finanzwirtschaft)
Q000933	Börsensensal/in
Q000934	Kreditanalyst/in
Q000935	Treasury-Manager/in
Q000936	Wertpapieranalyst/in (Fonds-Manager/in)
Q000937	Kreditmanager/in
Q000938	Risikomanager/in im Finanz- und Bankwesen
Q000939	Versicherungsangestellt(er)e [lehrähnlich]
Q000940	Versicherungskaufmann/-frau
Q000941	Bankkaufmann/-frau
Q000942	Auslandskorrespondent/in
Q000943	Büroleiter/in
Q000944	Fremdsprachenkorrespondent/in
Q000945	Korrespondent/in
Q000946	Sekretär/in für Kundenempfang
Q000947	Kanzleiassistent/in - Notariatskanzlei
Q000948	Kanzleiassistent/in - Rechtsanwaltskanzlei
Q000949	Kanzleiassistent/in - Notariatskanzlei
Q000950	Kanzleiassistent/in - Rechtsanwaltskanzlei
Q000951	Redaktionssekretär/in
Q000952	Sekretär/in (Schreibkräfte)
Q000953	Datatypist/in
Q000954	Verwaltungsangestellt(er)e
Q000955	Bürokraft (m./w.)
Q000956	Verwaltungsassistent/in
Q000957	Verwaltungsassistent/in
Q000958	Lagerverwalter/in
Q000959	Requisiteur/in
Q000960	Betriebslogistikkaufmann/-frau
Q000961	Logistikmanager/in
Q000962	Betriebslogistikkaufmann/-frau
Q000963	Arzt/Ärztin
Q000964	Risk-Manager/in (Medizin/Pharmazie)
Q000965	Zahnarzt/Zahnärztin
Q000966	Apotheker/in
Q000967	Hebamme
Q000968	Dipl. Krankenpfleger/in
Q000969	Dipl. Gesundheits- und Krankenpfleger/-schwester
Q000970	Lehrkrankenpfleger/-schwester
Q000971	Diätolog(e)in
Q000972	Masseur/in
Q000973	Sportmasseur/in
Q000974	Heilmasseur/in
Q000975	Medizinisch(er)e Masseur/in
Q000976	Masseur/in
Q000977	Ergotherapeut/in
Q000978	Biomedizinisch(er)e Analytiker/in
Q000979	Radiologietechnolog(e)in
Q000980	Orthoptist/in
Q000981	Physiotherapeut/in
Q000982	Klinisch(er)e Psycholog(e)in
Q000983	Psychotherapeut/in
Q000984	Trainingstherapeut/in
Q000985	Krankenträger/in
Q000986	Ordinationsgehilf(e)in
Q000987	Ordinationshilfe (m./w.)
Q000988	Pfleger/in
Q000989	Sanitäter/in
Q000990	Pflegehelfer/in
Q000991	Notfallsanitäter/in
Q000992	Laborassistent/in (medizinisches Labor)
Q000993	Tierärztlich(er)e Ordinationsassistent/in
Q000994	Diplomiert(er)e Operationstechnisch(er)e Assistent/in
Q000995	Tierärztlich(er)e Ordinationsassistent/in
Q000996	Obduktionsassistent/in
Q000997	Kinderbetreuer/in (ambulant)
Q000998	Obdachlosenbetreuer/in
Q000999	Bewährungshelfer/in
Q001000	Berufs- und Bildungsberater/in
Q001001	Ehe- und Familienberater/in
Q001002	Krisenberater/in
Q001003	Mediator/in
Q001004	Ausländerbetreuer/in
Q001005	Arbeitsassistent/in
Q001006	Sozialberater/in
Q001007	Sozialbetreuer/in
Q001008	Mesner/in
Q001009	Pastoralassistent/in
Q001010	Seelsorger/in
Q001011	Lehrer/in für die Primarstufe
Q001012	BHS-Lehrer/in
Q001013	Lehrer/in für land- und forstwirtschaftliche Schulen
Q001014	Kunsterzieher/in
Q001015	Musiklehrer/in
Q001016	Musiktherapeut/in
Q001017	Trainer/in (Erwachsenenbildung)
Q001018	Kindergartenhelfer/in
Q001019	Sozialpädagog(e)in
Q001020	Kinderbetreuer/in
Q001021	Kindergartenpädagog(e)in
Q001022	Sozialpädagoge/-pädagogin für inklusive Sozialpädagogik
Q001023	Naturwissenschafter/in
Q001024	Geolog(e)in
Q001025	Astronom/in
Q001026	Meteorolog(e)in
Q001027	Geochemiker/in
Q001028	Biolog(e)in
Q001029	Pharmakolog(e)in
Q001030	Botaniker/in
Q001031	Genetiker/in
Q001032	Mikrobiolog(e)in
Q001033	Paläontolog(e)in
Q001034	Betriebswirtschafter/in (Sozial-/Wirtschaftswissenschaft)
Q001035	Sozialwissenschafter/in
Q001036	Soziolog(e)in
Q001037	Statistiker/in
Q001038	Volkswirtschafter/in
Q001039	Politolog(e)in
Q001040	Marktforscher/in
Q001041	Sozialstatistiker/in (Demografie/Demoskopie)
Q001042	Mathematiker/in
Q001043	Psycholog(e)in
Q001044	Philosoph/in
Q001045	Archäolog(e)in
Q001046	Historiker/in
Q001047	Volkskundler/in
Q001048	Wissenschaftliche Hilfskraft (m./w.)
Q001049	Geograf/in
Q001050	Ergonom/in
Q001051	Ernährungswissenschafter/in
Q001052	Geophysiker/in
Q001053	Kommunikationswissenschafter/in
Q001054	Linguist/in
Q001055	Literaturwissenschafter/in
Q001056	Ökolog(e)in
Q001057	Pflegewissenschafter/in
Q001058	Bibliothekar/in
Q001059	Archivar/in
Q001060	Präparator/in
Q001061	Präparator/in
Q001062	Journalist/in
Q001063	Redakteur/in
Q001064	Dramaturg/in
Q001065	Reporter/in
Q001066	Autor/in
Q001067	Drehbuchautor/in
Q001068	Korrekturleser/in (Korrektor/in)
Q001069	Technisch(er)e Redakteur/in
Q001070	Video-Journalist/in
Q001071	Übersetzer/in
Q001072	Dolmetscher/in
Q001073	Bildhauer/in
Q001074	Kunstmaler/in
Q001075	Grafiker/in (Kunstgrafik)
Q001076	Maler/in (Kunstmalerei)
Q001077	Illustrator/in
Q001078	Karikaturist/in
Q001079	Restaurator/in
Q001080	Konservator/in
Q001081	Filmarchitekt/in
Q001082	Innenarchitekt/in
Q001083	Raumgestalter/in
Q001084	Bühnenbildner/in
Q001085	Künstler/in
Q001086	Kulissenmaler/in
Q001087	Kunstgewerbler/in
Q001088	Industrial Designer/in
Q001089	Möbeldesigner/in
Q001090	Textildesigner/in
Q001091	Event-Manager/in
Q001092	Kultur-Manager/in
Q001093	Künstleragent/in (Kultur-/Kunstagent/in)
Q001094	Kunstveranstalter/in (Cultural-Event-Manager/in)
Q001095	Produzent/in
Q001096	Produktionsleiter/in (Theater/Film/Fernsehen)
Q001097	Regieassistent/in
Q001098	Regisseur/in
Q001099	Choreograf/in
Q001100	Produktionsassistent/in (Film)
Q001101	Inspizient/in
Q001102	Script Supervisor (m./w.)
Q001103	Disc-Jockey (m./w.)
Q001104	Schauspieler/in
Q001105	Souffleur/Souffleuse
Q001106	Moderator/in (Conferencier/e)
Q001107	Stuntman/-woman
Q001108	Sänger/in
Q001109	Tänzer/in
Q001110	Musiker/in
Q001111	Dirigent/in
Q001112	Korrepetitor/in
Q001113	Komponist/in
Q001114	Statist/in
Q001115	Fahrlehrer/in
Q001116	Reitlehrer/in
Q001117	Animateur/in
Q001118	Sportlehrer/in
Q001119	Berufstaucher/in
Q001120	Freizeitberater/in
