Q000001	riigikogu liige
Q000002	linnaosa vanem
Q000003	saadik, diplomaatiline esindaja
Q000004	vallasekretär, linnasekretär
Q000005	politseiülem, politsei prefekt
Q000006	külavanem
Q000007	ametiühingu, tööandjate liidu juht
Q000008	erakonna esimees, erakonna peasekretär
Q000009	juhatuse liige, prokurist
Q000010	tervishoiuasutuse tegevdirektor või tippjuht, haiglajuht
Q000011	finantsjuht
Q000012	purser
Q000013	personalijuht
Q000014	värbamisjuht
Q000015	strateegiajuht
Q000016	poliitikajuht, poliitika planeerimisjuht
Q000017	haldusjuht, haldusteenistuse juht, haldusdirektor
Q000018	äriteeninduse juht
Q000019	turvajuht
Q000020	üldosakonna juhataja
Q000021	reklaamijuht
Q000022	suhtekorraldusjuht
Q000023	tootearendusjuht
Q000024	teadus- ja arendusosakonna juhataja, teadusasutuse juht
Q000025	arendusosakonna juhataja, arendusdirektor
Q000026	jahindusjuht
Q000027	põllumajandusettevõtte juht
Q000028	tootmisjuht vesiviljeluses
Q000029	traaleriteenistuse juht
Q000030	kalandustööde juht
Q000031	energeetikaettevõtte juht, elektrijaama juht
Q000032	elektroonikatööstuse tootmisjuht
Q000033	mööblitööstuse tootmisjuht
Q000034	puidu-, paberitööstuse tootmisjuht
Q000035	soojusenergia tootmisjuht, katlamaja juht
Q000036	toiduainetetööstuse tootmisjuht
Q000037	tööstuse tehnikajuht
Q000038	tööstuse, tootmise projektijuht
Q000039	energeetikaosakonna juhataja, elektrienergia tootmisjuht
Q000040	tehase juht, töötleva tööstuse ettevõtte juht
Q000041	mäetööstuse, kaevanduse juht
Q000042	ehituse projektijuht
Q000043	ehitusettevõtte juht
Q000044	ehitusosakonna juhataja
Q000045	laojuht, laojuhataja
Q000046	transpordiettevõtte juht
Q000047	varustusjuht, ostujuht
Q000048	tarne- ja turustusjuht, tarneahela juht
Q000049	IT juht, info- ja kommunikatsioonitehnoloogia osakonna juhataja
Q000050	tarkvara arendusjuht
Q000051	info- ja kommunikatsioonitehnoloogia arendusjuht
Q000052	lasteaia juhataja, lapsehoiuteenuste juht
Q000053	arst-juht (kliinikujuht, osakonnajuhataja, peaarst)
Q000054	muu tervishoiuteenuseid osutava struktuuriüksuse juht
Q000055	õendusjuht
Q000056	hooldekodu juht
Q000057	asenduskodu, lastekodu juhataja
Q000058	hoolekandekeskuse, päevakeskuse juhataja
Q000059	koolidirektor
Q000060	osakonnajuhataja (haridus- ja koolitusvaldkond)
Q000061	investeeringute juht, fondijuht
Q000062	kindlustusseltsi juht, kindlustuse osakonnajuhataja
Q000063	pangajuht
Q000064	muuseumi juht, muuseumi osakonnajuhataja
Q000065	raamatukogu juht, raamatukogu osakonnajuhataja
Q000066	vangla direktor
Q000067	arhiivi juht, arhiivi osakonnajuhataja
Q000068	päästeala üksuse juht
Q000069	hotellijuht
Q000070	kohviku juht
Q000071	restorani juht
Q000072	baaripidaja
Q000073	kaupluse juht
Q000074	apteegi juht
Q000075	jaemüügi juht
Q000076	hulgimüügi juht
Q000077	e-poe juht
Q000078	spordikeskuse (sh spordiklubi, ujula) juht
Q000079	teatrijuht
Q000080	noortekeskuse juht
Q000081	loominguline juht
Q000082	konverentsi- või messikeskuse juhataja, konverentsiteenuse juht
Q000083	kontaktikeskuse, kõnekeskuse juhataja
Q000084	reisibüroo juhataja
Q000085	autoremonditöökoja juht
Q000086	iluteenindusettevõtte juht, iluteenindusosakonna juhataja
Q000087	mujal liigitamata teenuste juhid
Q000088	astronoom
Q000089	füüsik
Q000090	sünoptik
Q000091	keemik
Q000092	geofüüsik
Q000093	geoloog
Q000094	statistik
Q000095	matemaatik
Q000096	aktuaar
Q000097	bakterioloog
Q000098	bioloog
Q000099	botaanik
Q000100	geneetik, geeniteadlane (va meditsiin)
Q000101	zooloog
Q000102	farmakoloog
Q000103	biokeemik
Q000104	mikrobioloog
Q000105	merebioloog
Q000106	molekulaarbioloog
Q000107	agronoom
Q000108	metsandusnõunik
Q000109	põllumajandusteadlane
Q000110	loomakasvatusnõunik
Q000111	mujal liigitamata põllumajanduse, metsanduse ja kalanduse nõuandjad
Q000112	ökoloog
Q000113	looduskaitseametnik
Q000114	õhusaaste analüütik
Q000115	klaasi-, keraamikatööstuse insener
Q000116	metalli-, masinatööstuse insener
Q000117	mööblitööstuse insener
Q000118	mööblitööstuse tehnoloog
Q000119	puidu-, paberitehnoloog
Q000120	puidu-, paberitööstuse insener
Q000121	tekstiilitehnoloog
Q000122	metalli-, masinatööstuse tehnoloog
Q000123	ehitusinsener
Q000124	ehitustehnoloog
Q000125	keskkonnaanalüütik
Q000126	laevainsener, laevaehitusinsener
Q000127	mehaanikainsener
Q000128	ventilatsiooniinsener
Q000129	keemiainsener
Q000130	toidutehnoloog
Q000131	biomeditsiiniinsener
Q000132	materjaliinsener
Q000133	muu loodus- ja tehnikateaduse insener, tippspetsialist
Q000134	meditsiinitehnika insener
Q000135	elektriinsener
Q000136	elektromehaanikainsener
Q000137	automaatikainsener
Q000138	elektroonikainsener
Q000139	arvuti riistvara insener
Q000140	telekommunikatsiooniinsener, sideinsener
Q000141	telekommunikatsiooni peaspetsialist
Q000142	sidetehnoloog
Q000143	ringhäälinguinsener
Q000144	ehitusarhitekt
Q000145	sisearhitekt
Q000146	linnaarhitekt
Q000147	hoonearhitekt
Q000148	maastiku-, haljastusarhitekt
Q000149	ehtedisainer
Q000150	linnaplaneerija
Q000151	liiklusplaneerija
Q000152	geodeet, maamõõtja
Q000153	kartograaf, topograaf, kaardikoostaja
Q000154	maakorraldaja
Q000155	kaevandusmarkšeider
Q000156	graafiline disainer
Q000157	publikatsioonide kujundaja
Q000158	veebikujundaja
Q000159	animaator
Q000160	perearst
Q000161	erialase spetsialiseerumiseta arst, üldarst
Q000162	abiarst (üliõpilane)
Q000163	allergoloog-immunoloog
Q000164	anestesioloogia ja intensiivravi arst
Q000165	dermatoveneroloog, naha- ja suguhaiguste arst
Q000166	endokrinoloog
Q000167	epidemioloog
Q000168	füsioloog
Q000169	gastroenteroloog
Q000170	meditsiinigeneetik ehk pärilikkusarst
Q000171	günekoloog
Q000172	hematoloog, veretalitusearst
Q000173	infektsioonhaiguste arst
Q000174	kardioloog, südamearst
Q000175	üldkirurg
Q000176	kohtuarst-ekspert
Q000177	otorinolarüngoloog (kõrva-nina-kurguarst)
Q000178	laboriarst
Q000179	neurokirurg
Q000180	neuroloog, närviarst
Q000181	oftalmoloog, okulist, silmaarst
Q000182	onkoloog
Q000183	ortopeed
Q000184	patoloog
Q000185	pediaater, lastearst
Q000186	plastikakirurg, ilukirurg
Q000187	psühhiaater
Q000188	pulmonoloog, kopsuarst
Q000189	radioloog, röntgenoloog
Q000190	reumatoloog
Q000191	sisehaiguste arst
Q000192	kardiokirurg
Q000193	taastusraviarst
Q000194	uroloog
Q000195	spordiarst
Q000196	töötervishoiuarst
Q000197	nefroloog
Q000198	erakorralise meditsiini arst
Q000199	vaskulaarkirurg, kardiovaskulaarkirurg
Q000200	lastekirurg
Q000201	anesteesia-intensiivraviõde
Q000202	õde
Q000203	operatsiooniõde
Q000204	psühhiaatriaõde
Q000205	pereõde
Q000206	erakorralise meditsiini õde
Q000207	lasteõde
Q000208	onkoloogiaõde
Q000209	pulmonoloogiaõde
Q000210	taastusraviõde
Q000211	kooliõde
Q000212	töötervishoiuõde
Q000213	abiõde (üliõpilane)
Q000214	koduõde
Q000215	ämmaemand
Q000216	kiirabiarst, parameedik
Q000217	veterinaar (loomaarst)
Q000218	stomatoloog (hambaarst)
Q000219	ortodont
Q000220	suu- ja näolõualuukirurg
Q000221	proteesiarst
Q000222	apteeker, proviisor
Q000223	tervisekaitse, töötervishoiu või tööhügieeni tippspetsialist
Q000224	füsioterapeut
Q000225	dieedi ja toitumise tippspetsialist
Q000226	kiropraktik
Q000227	kliiniline psühholoog
Q000228	lektor (ülikooli või kõrgkooli õppejõud)
Q000229	professor
Q000230	dotsent
Q000231	assistent (õppejõud)
Q000232	kutseõpetaja
Q000233	meister-tehnoloog (kutsekoolis)
Q000234	ajalooõpetaja
Q000235	bioloogiaõpetaja
Q000236	füüsikaõpetaja
Q000237	geograafiaõpetaja
Q000238	keemiaõpetaja
Q000239	kehalise kasvatuse õpetaja
Q000240	käsitöö-, tööõpetuse õpetaja
Q000241	matemaatikaõpetaja
Q000242	psühholoogiaõpetaja
Q000243	kunsti-, joonestamisõpetaja
Q000244	muusikaõpetaja
Q000245	algklasside õpetaja
Q000246	pikapäevarühma õpetaja
Q000247	lasteaiaõpetaja
Q000248	lasteaia muusikaõpetaja
Q000249	lasteaia liikumisõpetaja
Q000250	õppemetoodik
Q000251	mujal liigitamata õppemetoodika tippspetsialistid
Q000252	õppesuuna juht
Q000253	eripedagoog
Q000254	nägemispuudega õpilaste õpetaja
Q000255	kuulmispuudega õpilaste õpetaja
Q000256	õpetaja (erikool)
Q000257	eesti keele õpetaja
Q000258	inglise keele õpetaja
Q000259	prantsuse keele õpetaja
Q000260	saksa keele õpetaja
Q000261	soome keele õpetaja
Q000262	vene keele õpetaja
Q000263	viipekeele õpetaja
Q000264	klaveriõpetaja, klahvpilliõpetaja
Q000265	lauluõpetaja
Q000266	kitarriõpetaja
Q000267	viiuliõpetaja
Q000268	draamaõpetaja
Q000269	tantsuõpetaja (huvikoolis)
Q000270	tarkvarakoolitaja
Q000271	huvijuht
Q000272	hariduse tugitalituse tippspetsialist
Q000273	õppetöö arendusjuht
Q000274	haridustehnoloog
Q000275	õpetaja-kasvataja
Q000276	kursuse juhendaja, rühmajuhendaja
Q000277	muu ringijuht, huvikooli õpetaja
Q000278	pearaamatupidaja
Q000279	finantskontroller
Q000280	pankrotihaldur
Q000281	finantsnõunik, finantsplaneerija
Q000282	investeerimisnõustaja
Q000283	võlanõustaja
Q000284	finantsanalüütik
Q000285	investeerimisanalüütik, börsianalüütik
Q000286	superviisor
Q000287	kvaliteedijuht
Q000288	andmekaitsespetsialist
Q000289	arendusprojektide koordinaator
Q000290	siseaudiitor
Q000291	ärikonsultant
Q000292	volikogu nõunik
Q000293	integratsioonipoliitika nõunik, peaspetsialist
Q000294	kaitsepoliitika nõunik, peaspetsialist, julgeolekuanalüütik
Q000295	kultuurinõunik, peaspetsialist
Q000296	sisepoliitika nõunik, peaspetsialist
Q000297	välispoliitika nõunik, peaspetsialist
Q000298	rahvusvaheliste suhete juht
Q000299	rahvusvahelise koostöö koordinaator, projektijuht
Q000300	koostöö koordinaator
Q000301	strateegiate väljatöötaja
Q000302	heakorra ja haljastuse korraldaja
Q000303	karjäärinõustaja
Q000304	värbamisspetsialist
Q000305	täiendõppe koolitusspetsialist
Q000306	täiendõppe koolitusjuht
Q000307	täiskasvanute koolitaja (andragoog)
Q000308	reklaamikirjutaja, copy-writer
Q000309	reklaamikonsultant, reklaamispetsialist
Q000310	turundusjuht
Q000311	müügijuht
Q000312	kliendisuhete juht
Q000313	pressiesindaja
Q000314	kommunikatsioonijuht
Q000315	müügiesindaja (meditsiini- ja farmaatsiatooted)
Q000316	müügiesindaja (arvutid)
Q000317	IT süsteemianalüütik
Q000318	süsteemiarhitekt, süsteemidisainer (IT)
Q000319	arvutiteadlane
Q000320	ärianalüütik (IT)
Q000321	tarkvara arhitekt, disainer
Q000322	tarkvaraarendaja
Q000323	multimeedia programmeerija
Q000324	veebilehe arhitekt
Q000325	rakenduste programmeerija
Q000326	rakenduste administraator (IT)
Q000327	tarkvara testija
Q000328	süsteemide testija
Q000329	andmebaasi administraator
Q000330	andmebaasi arendaja
Q000331	IT turvaspetsialist
Q000332	kohtujurist
Q000333	prokurör, abiprokurör
Q000334	vandeadvokaat
Q000335	haldusjurist
Q000336	tsiviilõiguse jurist
Q000337	vandeadvokaadi abi
Q000338	kohtunik
Q000339	õigusnõunik, juriidiline nõustaja
Q000340	kinnistussekretär, äriregistri sekretär
Q000341	notar
Q000342	jurist
Q000343	riigihangete tippspetsialist
Q000344	kuraator
Q000345	peaarhivaar, arhivaar
Q000346	peavarahoidja, varahoidja
Q000347	konservaator
Q000348	raamatukoguhoidja, raamatukogutöötaja
Q000349	majandusanalüütik, ökonomist
Q000350	majandusnõustaja, majanduspoliitika nõunik
Q000351	antropoloog, etnoloog või etnograaf
Q000352	arheoloog
Q000353	geograaf
Q000354	sotsioloog
Q000355	kultuuripärandi nõunik
Q000356	ajaloolane
Q000357	filosoof
Q000358	politoloog, riigiteadlane
Q000359	psühholoog
Q000360	koolipsühholoog
Q000361	psühhoterapeut
Q000362	sotsiaaltöötaja
Q000363	kogemusnõustaja
Q000364	sotsiaalpedagoog
Q000365	sõltuvusnõustaja
Q000366	sotsiaaltööjuht
Q000367	kriminaalhooldusametnik
Q000368	kaplan
Q000369	kogudusevanem
Q000370	pastor
Q000371	preester
Q000372	vaimulik
Q000373	kirjanik, poeet
Q000374	raamatutoimetaja
Q000375	näitekirjanik, stsenarist
Q000376	dramaturg
Q000377	kirjandusteadlane
Q000378	ajakirjanik
Q000379	keeletoimetaja
Q000380	kriitik
Q000381	spordireporter, spordiajakirjanik
Q000382	televisiooni, raadio programmijuht
Q000383	tele- ja raadiouudiste toimetaja
Q000384	tele- ja raadio kommentaator
Q000385	inglise keele tõlk (kirjalik)
Q000386	keeleteadlane, filoloog
Q000387	prantsuse keele tõlk (kirjalik)
Q000388	rootsi jt skandinaavia keelte tõlk (kirjalik)
Q000389	saksa keele tõlk (kirjalik)
Q000390	soome keele tõlk (kirjalik)
Q000391	vene keele tõlk (kirjalik)
Q000392	viipekeele tõlk
Q000393	inglise keele tõlk (suuline)
Q000394	prantsuse keele tõlk (suuline)
Q000395	rootsi jt skandinaavia keelte tõlk (suuline)
Q000396	saksa keele tõlk (suuline)
Q000397	soome keele tõlk (suuline)
Q000398	vene keele tõlk (suuline)
Q000399	keraamik
Q000400	pildirestauraator (maali, kunstiteoste)
Q000401	kunstiteadlane
Q000402	skulptor
Q000403	joonisfilmi tegija
Q000404	dirigent, koorijuht
Q000405	helilooja
Q000406	kontsertmeister, koormeister
Q000407	laulja
Q000408	muusik
Q000409	muusikateadlane
Q000410	muusikatoimetaja
Q000411	pianist, klaverisaatja
Q000412	ansamblijuht
Q000413	balletitantsija
Q000414	ballettmeister, balletiõpetaja
Q000415	tantsija
Q000416	koreograaf
Q000417	kunstiline juht (film, teater jms)
Q000418	lavastaja
Q000419	lavastaja assistent, režissööri assistent
Q000420	näitejuht
Q000421	produtsent
Q000422	peaoperaator
Q000423	kõnerepetiitor
Q000424	nukunäitleja, nukujuht
Q000425	näitleja
Q000426	sõnakunstnik
Q000427	uudistelugeja, diktor
Q000428	konferansjee, õhtujuht
Q000429	saatejuht
Q000430	teadustaja
Q000431	statist
Q000432	geoloogiatehnik
Q000433	meteoroloogiatehnik
Q000434	füüsikatehnik
Q000435	ehitustehnik, ehitusprojekteerija
Q000436	ehituse eelarvestaja
Q000437	maamõõdutehnik
Q000438	maakorraldustehnik
Q000439	elektrisüsteemitehnik, elektritehnik, elektri jaotusvõrgu tehnik
Q000440	elektroenergeetik
Q000441	elektrotehnik-mehaanik
Q000442	elektrikäidu juht, elektrikäidu korraldaja
Q000443	elektroonikatehnik
Q000444	elektroonik, seadistaja
Q000445	masinaehitustehnik-mehaanik
Q000446	soojustehnik
Q000447	mehhaniseerimistehnik
Q000448	tööriistatehnik
Q000449	tõsteseadmete tehnik-mehaanik
Q000450	jahutus- ja külmutusseadmete tehnik
Q000451	mootorsõidukite tehnoülevaataja
Q000452	lennundustehnik
Q000453	lõhketööde tehnik
Q000454	metallurgiatehnik
Q000455	mäetehnik
Q000456	ehitusjoonestaja
Q000457	mujal liigitamata füüsika- ja tehnikateaduste tehnik
Q000458	metroloogiatehnik
Q000459	mõõteseadme tehnik, kalibreerija, taatleja
Q000460	kohtuekspertiisi tehnik
Q000461	tootmistehnik
Q000462	robotitehnik
Q000463	allmaajaoskonna juhataja
Q000464	tootmise meister, töödejuhataja
Q000465	metsa- ja puidutööstuse meister, töödejuhataja
Q000466	tootmisjärelevalve inspektor (tööstus)
Q000467	ehituse objektijuht, töödejuhataja
Q000468	puitmaja ehituse objektijuht, töödejuhataja
Q000469	ehitusplatsi koordinaator
Q000470	soojuselektrijaama operaator
Q000471	kompressorseadmete operaator
Q000472	veepuhastusjaama, veetöötluse operaator
Q000473	kemikaaliprotsessi tehnik
Q000474	keemiatööstuse protsessijuhtimistehnik
Q000475	rafineerimisprotsessi tehnik
Q000476	naftatöötlemise operaator
Q000477	valtsimismasina operaator
Q000478	mehhatroonik-tehnik
Q000479	paberi ja tselluloosi rafineerimistehase operaator
Q000480	ventilatsiooniseadmete operaator
Q000481	automaatse koosteliini operaator
Q000482	mujal liigitamata biotehnik (v.a meditsiinivaldkonna tehnik)
Q000483	zootehnik
Q000484	põllundus-, aiandus-, agrotehnik
Q000485	tõuaretustehnik
Q000486	metsavaht
Q000487	abimetsaülem
Q000488	jahikapten, kipper
Q000489	loots
Q000490	sadamakapten
Q000491	tüürimees, kapteni abi
Q000492	väikelaeva juht
Q000493	helikopteri piloot
Q000494	lennuinstruktor, lennuõpetaja
Q000495	lennukikapten, lennukipiloot
Q000496	lennujuht
Q000497	muu meditsiinidiagnostikaseadmete tehnik
Q000498	radioloogiatehnik
Q000499	abiradioloogiatehnik (üliõpilane)
Q000500	meditsiini- või patoloogialabori tehnik, laborant
Q000501	geenitehnik
Q000502	bioanalüütik
Q000503	farmatseut
Q000504	proviisori abi, farmatseudi abi
Q000505	hambaproteeside tehnik, hambatehnik
Q000506	proteeside, ortooside tehnik
Q000507	hooldusõde
Q000508	ämmaemanda abi
Q000509	alternatiiv-, rahvameditsiiniga tegeleja, loodusravitseja
Q000510	abiloomaarst
Q000511	veterinaarõde
Q000512	hambaraviõde, hambaarsti abi
Q000513	suuhügienist
Q000514	meditsiiniregistrite analüütik
Q000515	optometrist
Q000516	optik
Q000517	hambaarsti eriala praktikant (üliõpilane)
Q000518	töötervishoiu ja tööohutuse inspektor
Q000519	erakorralise meditsiini tehnik
Q000520	kiirabitehnik
Q000521	laenukonsultant, laenuhaldur
Q000522	raamatupidamise spetsialist, raamatupidaja
Q000523	finantsspetsialist
Q000524	eelarvestaja
Q000525	ökonomisti abi
Q000526	statistika assistent
Q000527	andmeanalüüsi spetsialist
Q000528	kaubahindaja
Q000529	kahjuhindaja, kahjukäsitleja
Q000530	kinnisvarahindaja
Q000531	kindlustusmaakler
Q000532	kindlustusagent
Q000533	müügiesindaja, müügikonsultant (va tehnika)
Q000534	müügikonsultant rõivad/jalatsid/tekstiil
Q000535	müügijärgse teeninduse konsultant
Q000536	varustaja
Q000537	ostuagent, ostuassistent, kokkuostja
Q000538	tollideklarant
Q000539	tollimaakler
Q000540	konverentside ja ürituste korraldaja
Q000541	personalivärbaja
Q000542	kinnisvaramaakler, maakleri abi
Q000543	kinnisvarahaldur
Q000544	kinnisvaraagent
Q000545	promootor
Q000546	reklaamiagent
Q000547	laevaagent
Q000548	reklaamimüüja
Q000549	kontori-, büroojuhataja, kantseleijuhataja
Q000550	klienditoe juht
