Q000001	Żołnierz szeregowy
Q000002	Parlamentarzysta
Q000003	Pozostali przedstawiciele władz publicznych
Q000004	Wyższy urzędnik państwowy
Q000005	Wyższy urzędnik placówki dyplomatycznej
Q000006	Wyższy urzędnik samorządowy
Q000007	Zawodowy działacz organizacji komercyjnej / pracodawców
Q000008	Zawodowy działacz organizacji politycznej
Q000009	Zawodowy działacz organizacji pozarządowej
Q000010	Zawodowy działacz organizacji zawodowej
Q000011	Zawodowy działacz organizacji związkowej
Q000012	Pozostali zawodowi działacze organizacji członkowskich
Q000013	Dyrektor do spraw administracyjnych
Q000014	Dyrektor finansowy
Q000015	Dyrektor generalny
Q000016	Dyrektor handlowy
Q000017	Dyrektor marketingu
Q000018	Dyrektor operacyjny
Q000019	Dyrektor produkcji
Q000020	Dyrektor rozwoju biznesu
Q000021	Dyrektor wykonawczy
Q000022	Prezes
Q000023	Rektor
Q000024	Syndyk
Q000025	Główny księgowy
Q000026	Kierownik działu finansowego
Q000027	Pozostali kierownicy do spraw finansowych
Q000028	Kierownik działu kadr i płac
Q000029	Kierownik działu szkoleń
Q000030	Kierownik działu zarządzania zasobami ludzkimi
Q000031	Naczelnik / kierownik wydziału
Q000032	Pozostali kierownicy do spraw strategii i planowania
Q000033	Kierownik działu administracyjno-gospodarczego
Q000034	Kierownik przedsiębiorstwa świadczącego usługi z zakresu obsługi biznesu
Q000035	Kierownik projektu
Q000036	Pozostali kierownicy do spraw obsługi biznesu i zarządzania gdzie indziej niesklasyfikowani
Q000037	Kierownik do spraw marketingu
Q000038	Kierownik do spraw sprzedaży
Q000039	Kierownik do spraw marketingu internetowego
Q000040	Kierownik do spraw marketingu sieciowego (wielopoziomowego)
Q000041	Regionalny kierownik sprzedaży
Q000042	Kierownik działu reklamy / promocji / public relations
Q000043	Pozostali kierownicy do spraw reklamy i public relations
Q000044	Kierownik do spraw rozwoju produktu
Q000045	Kierownik działu badawczo-rozwojowego
Q000046	Pozostali kierownicy do spraw badań i rozwoju
Q000047	Kierownik w gospodarce leśnej
Q000048	Kierownik produkcji w  przedsiębiorstwie ogrodniczym
Q000049	Kierownik produkcji w  przedsiębiorstwie hodowlanym
Q000050	Pozostali kierownicy produkcji w rolnictwie i leśnictwie
Q000051	Kierownik produkcji w zakładzie akwakultury
Q000052	Kierownik przedsiębiorstwa w rybołówstwie
Q000053	Pozostali kierownicy produkcji w zakładach akwakultury i rybołówstwie
Q000054	Kierownik małego przedsiębiorstwa w przemyśle przetwórczym
Q000055	Kierownik utrzymania ruchu
Q000056	Pozostali kierownicy do spraw produkcji przemysłowej
Q000057	Kierownik działu ruchu zakładu górniczego lub zakładu
Q000058	Kierownik małego przedsiębiorstwa w przemyśle wydobywczym
Q000059	Kierownik ruchu zakładu górniczego lub zakładu
Q000060	Pozostali kierownicy w górnictwie
Q000061	Kierownik budowy
Q000062	Kierownik działu logistyki
Q000063	Kierownik działu transportu
Q000064	Kierownik działu zakupów
Q000065	Kierownik magazynu
Q000066	Kierownik przedsiębiorstwa spedycyjnego
Q000067	Kierownik przedsiębiorstwa transportowego
Q000068	Zawiadowca stacji
Q000069	Kierownik punktu skupu
Q000070	Kierownik działu w przedsiębiorstwie telekomunikacyjnym
Q000071	Kierownik przedsiębiorstwa telekomunikacyjnego
Q000072	Kierownik rozwoju technologii informatycznych
Q000073	Kierownik sieci informatycznych
Q000074	Kierownik przedszkola
Q000075	Kierownik placówki wsparcia dziennego
Q000076	Pozostali kierownicy / dyrektorzy w instytucjach opieki nad dziećmi
Q000077	Kierownik hospicjum
Q000078	Kierownik podmiotu leczniczego
Q000079	Położna oddziałowa
Q000080	Lekarz ordynator oddziału
Q000081	Pozostali kierownicy w instytucjach opieki zdrowotnej
Q000082	Kierownik domu spokojnej starości
Q000083	Kierownik domu pomocy społecznej
Q000084	Kierownik działu w instytucjach pomocy społecznej
Q000085	Kierownik ośrodka pomocy rodzinie
Q000086	Dyrektor szkoły
Q000087	Dziekan
Q000088	Kierownik warsztatów szkolnych
Q000089	Kierownik agencji doradztwa finansowego
Q000090	Kierownik agencji ubezpieczeniowej
Q000091	Kierownik działu operacji finansowych
Q000092	Kierownik placówki bankowej
Q000093	Pozostali kierownicy instytucji finansowych i ubezpieczeniowych
Q000094	Dyrektor aresztu śledczego / zakładu karnego
Q000095	Dyrektor zakładu dla nieletnich
Q000096	Kierownik firmy audytorskiej
Q000097	Kierownik kancelarii prawnej
Q000098	Kierownik archiwum
Q000099	Kierownik biblioteki
Q000100	Kierownik galerii sztuki
Q000101	Kierownik muzeum
Q000102	Komendant policji (powiatowej,miejskiej, rejonowej, komisariatu)
Q000103	Kierownik działu w hotelu
Q000104	Kierownik hostelu / motelu
Q000105	Kierownik hotelu
Q000106	Kierownik pensjonatu
Q000107	Pozostali kierownicy w hotelarstwie
Q000108	Kierownik działu w lokalu gastronomicznym
Q000109	Kierownik lokalu gastronomicznego
Q000110	Kierownik działu w handlu detalicznym
Q000111	Kierownik apteki
Q000112	Kierownik domu kultury
Q000113	Kierownik kasyna
Q000114	Kierownik klubu fitness
Q000115	Kierownik klubu sportowego
Q000116	Kierownik parku rozrywki / cyrku
Q000117	Kierownik siłowni
Q000118	Kierownik szkółki jeździeckiej
Q000119	Dyrektor teatru
Q000120	Kierownik szkoły tańca
Q000121	Dyrektor filharmonii/opery/operetki/orkiestry
Q000122	Kierownik biura podroży
Q000123	Kierownik biura tłumaczeń
Q000124	Kierownik centrum obsługi telefonicznej (kierownik call center)
Q000125	Kierownik do spraw windykacji
Q000126	Kierownik firmy sprzątającej
Q000127	Kierownik kempingu
Q000128	Kierownik / właściciel zakładu usługowego
Q000129	Kierownik / właściciel stacji paliw
Q000130	Kierownik / właściciel szkoły jazdy
Q000131	Pozostali kierownicy do spraw innych typów usług gdzie indziej niesklasyfikowani
Q000132	Astronom
Q000133	Fizyk
Q000134	Fizyk medyczny
Q000135	Pozostali fizycy i astronomowie
Q000136	Hydrometeorolog
Q000137	Meteorolog
Q000138	Synoptyk
Q000139	Klimatolog
Q000140	Chemik
Q000141	Chemik – technologia chemiczna
Q000142	Agrochemik
Q000143	Perfumiarz
Q000144	Geofizyk
Q000145	Geograf
Q000146	Geolog
Q000147	Hydrograf morski
Q000148	Hydrolog
Q000149	Oceanolog
Q000150	Aktuariusz
Q000151	Matematyk
Q000152	Demograf
Q000153	Statystyk
Q000154	Biochemik
Q000155	Biofizyk
Q000156	Biolog
Q000157	Genetyk
Q000158	Mikrobiolog
Q000159	Bioinformatyk
Q000160	Doradca rolniczy
Q000161	Gleboznawca
Q000162	Inżynier ogrodnictwa
Q000163	Klasyfikator gruntów
Q000164	Rzeczoznawca rolniczy
Q000165	Pozostali specjaliści w zakresie rolnictwa, leśnictwa i pokrewni
Q000166	Ekolog
Q000167	Specjalista ochrony środowiska
Q000168	Inżynier normowania pracy
Q000169	Inżynier utrzymania ruchu
Q000170	Konsultant komitetu technicznego
Q000171	Specjalista kontroli jakości
Q000172	Towaroznawca
Q000173	Pozostali inżynierowie do spraw przemysłu i produkcji
Q000174	Inżynier budownictwa – budownictwo ogólne
Q000175	Inżynier budownictwa – budownictwo przemysłowe
Q000176	Inżynier budownictwa – linie, węzły i stacje kolejowe
Q000177	Inżynier budowy dróg
Q000178	Inżynier budowy mostów
Q000179	Inżynier geotechnik
Q000180	Inżynier inżynierii środowiska – gazowe urządzenia, instalacje i sieci energetyczne
Q000181	Inżynier inżynierii środowiska – gospodarka wodna i hydrologia
Q000182	Inżynier inżynierii środowiska – instalacje sanitarne
Q000183	Inżynier inżynierii środowiska – melioracje
Q000184	Inżynier inżynierii środowiska – oczyszczanie miast i gospodarka odpadami
Q000185	Inżynier mechanik – cieplno-mechaniczne urządzenia, instalacje i sieci energetyczne
Q000186	Inżynier mechanik – maszyny i urządzenia do obróbki metali
Q000187	Inżynier mechanik – maszyny i urządzenia energetyczne
Q000188	Inżynier mechanik – mechanika precyzyjna
Q000189	Inżynier mechanik – środki transportu
Q000190	Inżynier mechanik – technologia mechaniczna
Q000191	Inżynier mechanik lotniczy
Q000192	Inżynier mechanizacji rolnictwa
Q000193	Inżynier spawalnik
Q000194	Konstruktor form wtryskowych
Q000195	Inżynier budownictwa okrętowego
Q000196	Inżynier technologii chemicznej
Q000197	Inżynier górnik – górnictwo odkrywkowe
Q000198	Inżynier górnik – wiertnictwo
Q000199	Inżynier hutnik
Q000200	Inżynier odlewnik
Q000201	Inżynier geofizyk - geofizyka górnicza
Q000202	Inżynier geolog - hydrologia górnicza
Q000203	Audytor energetyczny
Q000204	Inżynier awionik
Q000205	Inżynier biocybernetyki i inżynierii biomedycznej
Q000206	Inżynier energetyki
Q000207	Inżynier poligrafii
Q000208	Inżynier pożarnictwa
Q000209	Inżynier technologii betonów
Q000210	Inżynier technologii ceramiki
Q000211	Inżynier technologii drewna
Q000212	Inżynier technologii przetwórstwa skóry
Q000213	Inżynier technologii szkła
Q000214	Inżynier transportu drogowego
Q000215	Inżynier transportu kolejowego
Q000216	Inżynier włókiennik
Q000217	Metrolog
Q000218	Nanotechnolog (inżynier nanostruktur)
Q000219	Specjalista do spraw ergonomii i projektowania form użytkowych
Q000220	Specjalista do spraw pakowania i opakowań
Q000221	Specjalista monitoringu systemów zabezpieczeń technicznych osób i mienia
Q000222	Inżynier akustyk
Q000223	Inżynier procesu malowania
Q000224	Rzeczoznawca samochodowy
Q000225	Technolog – programista obrabiarek
Q000226	Inżynier inżynierii materiałowej
Q000227	Zarządca energii
Q000228	Inżynier elektroenergetyk
Q000229	Inżynier elektroenergetyk kolejowych sieci i podstacji trakcyjnych
Q000230	Inżynier elektryk
Q000231	Inżynier techniki świetlnej
Q000232	Inżynier urządzeń i systemów energetyki odnawialnej
Q000233	Inżynier elektronik
Q000234	Inżynier mechatronik
Q000235	Inżynier urządzeń zabezpieczenia i sterowania ruchem kolejowym
Q000236	Optoelektronik
Q000237	Inżynier telekomunikacji
Q000238	Technolog inżynierii telekomunikacyjnej
Q000239	Inżynier teleinformatyk
Q000240	Pozostali inżynierowie telekomunikacji
Q000241	Architekt
Q000242	Architekt wnętrz
Q000243	Pozostali architekci
Q000244	Architekt krajobrazu
Q000245	Architekt zieleni wewnątrz budynków
Q000246	Projektant biżuterii
Q000247	Kostiumograf
Q000248	Projektant mody
Q000249	Projektant wzornictwa przemysłowego
Q000250	Projektant ekspozycji towarów i usług (visual merchandiser)
Q000251	Inżynier ruchu drogowego
Q000252	Inżynier ruchu kolejowego
Q000253	Urbanista
Q000254	Pozostali urbaniści i inżynierowie ruchu drogowego
Q000255	Inżynier geodeta – fotogrametria i teledetekcja
Q000256	Inżynier geodeta – geodezja górnicza
Q000257	Inżynier geodeta – geodezja inżynieryjno-przemysłowa
Q000258	Inżynier geodeta – geodezja urządzania terenów rolnych i leśnych
Q000259	Inżynier geodeta – geodezyjne pomiary podstawowe i satelitarne
Q000260	Inżynier geodeta – geomatyka
Q000261	Kartograf
Q000262	Grafik komputerowy DTP
Q000263	Grafik komputerowy multimediów
Q000264	Ilustrator
Q000265	Projektant grafiki
Q000266	Projektant grafiki stron internetowych
Q000267	Specjalista do spraw animacji multimedialnej
Q000268	Lekarz – specjalista alergologii
Q000269	Lekarz – specjalista anestezjologii i intensywnej terapii
Q000270	Lekarz – specjalista angiologii
Q000271	Lekarz – specjalista audiologii i foniatrii
Q000272	Lekarz – specjalista balneologii i medycyny fizykalnej
Q000273	Lekarz – specjalista chirurgii dziecięcej
Q000274	Lekarz – specjalista chirurgii klatki piersiowej
Q000275	Lekarz – specjalista chirurgii naczyniowej
Q000276	Lekarz – specjalista chirurgii ogólnej
Q000277	Lekarz – specjalista chirurgii onkologicznej
Q000278	Lekarz – specjalista chirurgii plastycznej
Q000279	Lekarz – specjalista chirurgii szczękowo-twarzowe
Q000280	Lekarz – specjalista chorób płuc
Q000281	Lekarz – specjalista chorób wewnętrznych
Q000282	Lekarz – specjalista chorób zakaźnych
Q000283	Lekarz – specjalista dermatologii i wenerologii
Q000284	Lekarz – specjalista diabetologii
Q000285	Lekarz – specjalista diagnostyki laboratoryjnej
Q000286	Lekarz – specjalista endokrynologii
Q000287	Lekarz – specjalista epidemiologii
Q000288	Lekarz – specjalista farmakologii klinicznej
Q000289	Lekarz – specjalista gastroenterologii
Q000290	Lekarz – specjalista genetyki klinicznej
Q000291	Lekarz – specjalista geriatrii
Q000292	Lekarz – specjalista ginekologii onkologicznej
Q000293	Lekarz – specjalista hematologii
Q000294	Lekarz – specjalista hipertensjologii
Q000295	Lekarz – specjalista kardiochirurgii
Q000296	Lekarz – specjalista kardiologii
Q000297	Lekarz – specjalista kardiologii dziecięcej
Q000298	Lekarz – specjalista medycyny nuklearnej
Q000299	Lekarz – specjalista medycyny paliatywnej
Q000300	Lekarz – specjalista medycyny pracy
Q000301	Lekarz – specjalista medycyny ratunkowej
Q000302	Lekarz – specjalista medycyny rodzinnej
Q000303	Lekarz – specjalista medycyny sądowej
Q000304	Lekarz – specjalista medycyny sportowej
Q000305	Lekarz – specjalista medycyny transportu
Q000306	Lekarz – specjalista mikrobiologii lekarskiej
Q000307	Lekarz – specjalista nefrologii
Q000308	Lekarz – specjalista neonatologii
Q000309	Lekarz – specjalista neurochirurgii
Q000310	Lekarz – specjalista neurologii
Q000311	Lekarz – specjalista neurologii dziecięcej
Q000312	Lekarz – specjalista neuropatologii
Q000313	Lekarz – specjalista okulistyki
Q000314	Lekarz – specjalista onkologii i hematologii dziecięcej
Q000315	Lekarz – specjalista onkologii klinicznej
Q000316	Lekarz – specjalista ortopedii i traumatologii narządu ruchu
Q000317	Lekarz – specjalista otorynolaryngologii
Q000318	Lekarz – specjalista otorynolaryngologii dziecięcej
Q000319	Lekarz – specjalista patomorfologii
Q000320	Lekarz – specjalista pediatrii
Q000321	Lekarz – specjalista położnictwa i ginekologii
Q000322	Lekarz – specjalista psychiatrii
Q000323	Lekarz – specjalista psychiatrii dzieci i młodzieży
Q000324	Lekarz – specjalista radiologii i diagnostyki obrazowej
Q000325	Lekarz – specjalista radioterapii onkologicznej
Q000326	Lekarz – specjalista rehabilitacji medycznej
Q000327	Lekarz – specjalista reumatologii
Q000328	Lekarz – specjalista seksuologii
Q000329	Lekarz – specjalista toksykologii klinicznej
Q000330	Lekarz – specjalista transfuzjologii klinicznej
Q000331	Lekarz – specjalista transplantologii klinicznej
Q000332	Lekarz – specjalista urologii
Q000333	Lekarz – specjalista urologii dziecięcej
Q000334	Lekarz – specjalista zdrowia publicznego
Q000335	Lekarz – specjalista chorób płuc dzieci
Q000336	Lekarz – specjalista endokrynologii ginekologicznej i rozrodczości
Q000337	Lekarz – specjalista endokrynologii i diabetologii dziecięcej
Q000338	Lekarz – specjalista gastrologii dziecięcej
Q000339	Lekarz – specjalista intensywnej terapii
Q000340	Lekarz – specjalista medycyny lotniczej
Q000341	Lekarz – specjalista medycyny morskiej i tropikalnej
Q000342	Lekarz – specjalista nefrologii dziecięcej
Q000343	Lekarz – specjalista pediatrii metabolicznej
Q000344	Lekarz – specjalista perinatologii
Q000345	Pozostali lekarze specjaliści
Q000346	Pielęgniarka – specjalista organizacji i zarządzania
Q000347	Pielęgniarka – specjalista pielęgniarstwa anestezjologicznego i intensywnej opieki
Q000348	Pielęgniarka – specjalista pielęgniarstwa chirurgicznego
Q000349	Pielęgniarka – specjalista pielęgniarstwa diabetologicznego
Q000350	Pielęgniarka – specjalista pielęgniarstwa epidemiologicznego
Q000351	Pielęgniarka – specjalista pielęgniarstwa geriatrycznego
Q000352	Pielęgniarka – specjalista pielęgniarstwa kardiologicznego
Q000353	Pielęgniarka – specjalista pielęgniarstwa nefrologicznego
Q000354	Pielęgniarka – specjalista pielęgniarstwa neonatologicznego
Q000355	Pielęgniarka – specjalista pielęgniarstwa neurologicznego
Q000356	Pielęgniarka – specjalista pielęgniarstwa onkologicznego
Q000357	Pielęgniarka – specjalista pielęgniarstwa operacyjnego
Q000358	Pielęgniarka – specjalista pielęgniarstwa opieki długoterminowej
Q000359	Pielęgniarka – specjalista pielęgniarstwa opieki paliatywnej
Q000360	Pielęgniarka – specjalista pielęgniarstwa pediatrycznego
Q000361	Pielęgniarka – specjalista pielęgniarstwa psychiatrycznego
Q000362	Pielęgniarka – specjalista pielęgniarstwa ratunkowego
Q000363	Pielęgniarka – specjalista pielęgniarstwa rodzinnego
Q000364	Pielęgniarka – specjalista pielęgniarstwa środowiska nauczania i wychowania
Q000365	Pielęgniarka – specjalista pielęgniarstwa w ochronie zdrowia pracujących
Q000366	Pielęgniarka – specjalista pielęgniarstwa zachowawczego
Q000367	Pielęgniarka – specjalista promocji zdrowia i edukacji zdrowotnej
Q000368	Pozostałe pielęgniarki z tytułem specjalisty
Q000369	Położna
Q000370	Położna – specjalista organizacji i zarządzania
Q000371	Położna – specjalista pielęgniarstwa epidemiologicznego
Q000372	Położna – specjalista pielęgniarstwa ginekologicznego
Q000373	Położna – specjalista pielęgniarstwa neonatologicznego
Q000374	Położna – specjalista pielęgniarstwa położniczego
Q000375	Położna – specjalista pielęgniarstwa rodzinnego
Q000376	Położna – specjalista promocji zdrowia i edukacji zdrowotnej
Q000377	Pozostałe położne z tytułem specjalisty
Q000378	Lekarz weterynarii – specjalista chirurgii weterynaryjnej
Q000379	Lekarz weterynarii – specjalista chorób drobiu i ptaków ozdobnych
Q000380	Lekarz weterynarii – specjalista chorób koni
Q000381	Lekarz weterynarii – specjalista chorób owadów użytkowych
Q000382	Lekarz weterynarii – specjalista chorób przeżuwaczy
Q000383	Lekarz weterynarii – specjalista chorób psów i kotów
Q000384	Lekarz weterynarii – specjalista chorób ryb
Q000385	Lekarz weterynarii – specjalista chorób trzody chlewnej
Q000386	Lekarz weterynarii – specjalista chorób zwierząt futerkowych
Q000387	Lekarz weterynarii – specjalista chorób zwierząt nieudomowionych
Q000388	Lekarz weterynarii – specjalista epizootiologii i administracji weterynaryjnej
Q000389	Lekarz weterynarii – specjalista higieny zwierząt rzeźnych i żywności pochodzenia zwierzęcego
Q000390	Lekarz weterynarii – specjalista prewencji weterynaryjnej i higieny pasz
Q000391	Lekarz weterynarii – specjalista radiologii weterynaryjnej
Q000392	Lekarz weterynarii – specjalista rozrodu zwierząt
Q000393	Lekarz weterynarii – specjalista użytkowania i patologii zwierząt laboratoryjnych
Q000394	Lekarz weterynarii – specjalista weterynaryjnej diagnostyki laboratoryjnej
Q000395	Pozostali lekarze weterynarii specjaliści
Q000396	Lekarz dentysta – specjalista chirurgii stomatologicznej
Q000397	Lekarz dentysta – specjalista chirurgii szczękowo-twarzowej
Q000398	Lekarz dentysta – specjalista epidemiologii
Q000399	Lekarz dentysta – specjalista ortodoncji
Q000400	Lekarz dentysta – specjalista periodontologii
Q000401	Lekarz dentysta – specjalista protetyki stomatologicznej
Q000402	Lekarz dentysta – specjalista stomatologii dziecięcej
Q000403	Lekarz dentysta – specjalista stomatologii zachowawczej z endodoncją
Q000404	Lekarz dentysta – specjalista zdrowia publicznego
Q000405	Pozostali lekarze dentyści specjaliści
Q000406	Diagnosta laboratoryjny – specjalista cytomorfologii medycznej
Q000407	Diagnosta laboratoryjny – specjalista epidemiologii
Q000408	Diagnosta laboratoryjny – specjalista laboratoryjnej diagnostyki medycznej
Q000409	Diagnosta laboratoryjny – specjalista laboratoryjnej genetyki sądowej
Q000410	Diagnosta laboratoryjny – specjalista laboratoryjnej genetyki medycznej
Q000411	Diagnosta laboratoryjny – specjalista laboratoryjnej hematologii medycznej
Q000412	Diagnosta laboratoryjny – specjalista laboratoryjnej parazytologii medycznej
Q000413	Diagnosta laboratoryjny – specjalista laboratoryjnej toksykologii medycznej
Q000414	Diagnosta laboratoryjny – specjalista laboratoryjnej transfuzjologii medycznej
Q000415	Diagnosta laboratoryjny – specjalista mikrobiologii medycznej
Q000416	Diagnosta laboratoryjny – specjalista zdrowia publicznego
Q000417	Diagnosta laboratoryjny – specjalista zdrowia środowiskowego
